P	pair_order	pair_name	base_group	phenotype_domain	pair_id	trait1	trait2	rg	rg_se	rg_lo	rg_hi	rg_p	rg_q	lava_n_loci	lava_sig_regions	magma_sig_gene_count	route	ldsc_sig_bh05	placo_genomewide_support	cpassoc_genomewide_support
P1	1	Allergic rhinitis - Allergic conjunctivitis	Allergic rhinitis	atopic_allergic	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	ALLERGIC_RHINITIS_GCST90038664	H7_ALLERGICCONJUNCTIVITIS	0.8044	0.0706	0.666024	0.942776	4.4061e-30	3.789246e-28	92	23	61	Both	True	True	True
P2	2	Allergic rhinitis - Allergic asthma	Allergic rhinitis	asthma_lower_airway	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	ALLERGIC_RHINITIS_GCST90038664	ALLERG_ASTHMA	0.5453	0.0709	0.406336	0.684264	1.3958e-14	4.00129333333333e-13	75	20	43	Both	True	True	True
P3	3	Allergic rhinitis - Atopic dermatitis	Allergic rhinitis	atopic_allergic	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC	ALLERGIC_RHINITIS_GCST90038664	L12_ATOPIC	0.4498	0.0637	0.324948	0.574652	1.7093e-12	2.939996e-11	85	9	30	Both	True	True	True
P4	4	Allergic rhinitis - Eosinophilic asthma	Allergic rhinitis	asthma_lower_airway	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	ALLERGIC_RHINITIS_GCST90038664	ASTHMA_EOSINOPHIL_SUGG	0.4169	0.0742	0.271468	0.562332	1.9443e-08	2.0901225e-07	52	8	28	Both	True	True	True
P5	5	Allergic rhinitis - Asthma	Allergic rhinitis	asthma_lower_airway	ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE	ALLERGIC_RHINITIS_GCST90038664	J10_ASTHMA_EXMORE	0.3466	0.0531	0.242524	0.450676	6.8236e-11	9.78049333333333e-10	119	16	7	Both	True	True	True
P6	6	Allergic rhinitis - Dermatitis and eczema	Allergic rhinitis	atopic_allergic	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	ALLERGIC_RHINITIS_GCST90038664	L12_DERMATITISECZEMA	0.2968	0.0568	0.185472	0.408128	1.707e-07	1.63113333333333e-06	74	10	28	Both	True	True	True
P7	7	Allergic rhinitis - Acute bronchitis	Allergic rhinitis	ENT_infection	ALLERGIC_RHINITIS_GCST90038664__J10_BRONCHITIS	ALLERGIC_RHINITIS_GCST90038664	J10_BRONCHITIS	0.2854	0.1094	0.070976	0.499824	0.0091	0.0355217391304348	26	1	0	Both	True	True	True
P8	8	Allergic rhinitis - Chronic tonsil and adenoid disease	Allergic rhinitis	ENT_infection	ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN	ALLERGIC_RHINITIS_GCST90038664	J10_CHRONTONSADEN	0.1837	0.0446	0.096284	0.271116	3.7925e-05	0.0002965045454545	102	2	5	Both	True	True	True
P9	9	Allergic rhinitis - Crohn disease	Allergic rhinitis	autoimmune_IBD	ALLERGIC_RHINITIS_GCST90038664__K11_CD_STRICT2	ALLERGIC_RHINITIS_GCST90038664	K11_CD_STRICT2	0.1836	0.0897	0.007788	0.359412	0.0405	0.127157142857143	31	1	3	LAVA only	False	True	True
P10	10	Allergic rhinitis - Coeliac disease	Allergic rhinitis	autoimmune_IBD	ALLERGIC_RHINITIS_GCST90038664__K11_COELIAC	ALLERGIC_RHINITIS_GCST90038664	K11_COELIAC	0.0863	0.0802	-0.070892	0.243492	0.2819	0.526033333333333	46	4	5	LAVA only	False	True	True
P11	11	Allergic rhinitis - Inflammatory bowel disease	Allergic rhinitis	autoimmune_IBD	ALLERGIC_RHINITIS_GCST90038664__K11_IBD_STRICT	ALLERGIC_RHINITIS_GCST90038664	K11_IBD_STRICT	0.0784	0.0606	-0.040376	0.197176	0.1953	0.408295238095238	77	3	3	LAVA only	False	True	True
P12	12	Allergic rhinitis - Seropositive rheumatoid arthritis	Allergic rhinitis	autoimmune_IBD	ALLERGIC_RHINITIS_GCST90038664__RHEUMA_SEROPOS_WIDE	ALLERGIC_RHINITIS_GCST90038664	RHEUMA_SEROPOS_WIDE	0.0078	0.0701	-0.129596	0.145196	0.9118	0.956278048780488	54	6	0	LAVA only	False	True	True
P13	13	Allergic rhinitis - Rheumatoid arthritis	Allergic rhinitis	autoimmune_IBD	ALLERGIC_RHINITIS_GCST90038664__M13_RHEUMA	ALLERGIC_RHINITIS_GCST90038664	M13_RHEUMA	-0.0471	0.0621	-0.168816	0.074616	0.4486	0.727496296296296	55	2	1	LAVA only	False	True	True
P14	14	Nasal polyps - Eosinophilic asthma	Nasal polyps	asthma_lower_airway	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	NASAL_POLYPS_GCST90018883	ASTHMA_EOSINOPHIL_SUGG	0.9481	0.0933	0.765232	1.130968	3.0465e-24	1.309995e-22	31	24	86	Both	True	True	True
P15	15	Nasal polyps - Asthma	Nasal polyps	asthma_lower_airway	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	NASAL_POLYPS_GCST90018883	J10_ASTHMA_EXMORE	0.5263	0.0695	0.39008	0.66252	3.5425e-14	7.616375e-13	65	18	65	Both	True	True	True
P16	16	Nasal polyps - Allergic asthma	Nasal polyps	asthma_lower_airway	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA	NASAL_POLYPS_GCST90018883	ALLERG_ASTHMA	0.4778	0.0833	0.314532	0.641068	9.8051e-09	1.20462657142857e-07	40	15	53	Both	True	True	True
P17	17	Nasal polyps - Bacterial pneumonia	Nasal polyps	ENT_infection	NASAL_POLYPS_GCST90018883__J10_PNEUMOBACT	NASAL_POLYPS_GCST90018883	J10_PNEUMOBACT	0.4708	0.1262	0.223448	0.718152	2e-04	0.0012285714285714	20	1	0	Both	True	True	True
P18	18	Nasal polyps - Non-allergic asthma	Nasal polyps	asthma_lower_airway	NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	NASAL_POLYPS_GCST90018883	NONALLERG_ASTHMA_EXMORE	0.4336	0.1027	0.232308	0.634892	2.4384e-05	0.0002097024	21	3	24	Both	True	True	True
P19	19	Nasal polyps - Eustachian salpingitis and obstruction	Nasal polyps	ENT_infection	NASAL_POLYPS_GCST90018883__H8_EUSTSALP	NASAL_POLYPS_GCST90018883	H8_EUSTSALP	0.396	0.1528	0.096512	0.695488	0.0095	0.0355217391304348	15	0	2	LDSC only	True	True	True
P20	20	Nasal polyps - Pneumonia	Nasal polyps	ENT_infection	NASAL_POLYPS_GCST90018883__J10_PNEUMONIA	NASAL_POLYPS_GCST90018883	J10_PNEUMONIA	0.3623	0.092	0.18198	0.54262	8.1564e-05	0.000584542	21	0	0	LDSC only	True	True	True
P21	21	Nasal polyps - Atopic dermatitis	Nasal polyps	atopic_allergic	NASAL_POLYPS_GCST90018883__L12_ATOPIC	NASAL_POLYPS_GCST90018883	L12_ATOPIC	0.3517	0.1017	0.152368	0.551032	5e-04	0.0025294117647058	45	10	6	Both	True	True	True
P22	22	Nasal polyps - Dermatitis and eczema	Nasal polyps	atopic_allergic	NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA	NASAL_POLYPS_GCST90018883	L12_DERMATITISECZEMA	0.3277	0.0934	0.144636	0.510764	4e-04	0.00215	43	6	8	Both	True	True	True
P23	23	Nasal polyps - Rheumatoid arthritis	Nasal polyps	autoimmune_IBD	NASAL_POLYPS_GCST90018883__M13_RHEUMA	NASAL_POLYPS_GCST90018883	M13_RHEUMA	0.2909	0.0817	0.130768	0.451032	4e-04	0.00215	31	4	2	Both	True	True	True
P24	24	Nasal polyps - Non-thyroid autoimmune disease	Nasal polyps	autoimmune_IBD	NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID	NASAL_POLYPS_GCST90018883	AUTOIMMUNE_NONTHYROID	0.2874	0.085	0.1208	0.454	7e-04	0.0033444444444444	36	6	16	Both	True	True	True
P25	25	Nasal polyps - Chronic obstructive pulmonary disease	Nasal polyps	asthma_lower_airway	NASAL_POLYPS_GCST90018883__J10_COPD	NASAL_POLYPS_GCST90018883	J10_COPD	0.2375	0.0645	0.11108	0.36392	2e-04	0.0012285714285714	37	6	20	Both	True	True	True
P26	26	Nasal polyps - Middle-ear and mastoid disease	Nasal polyps	ENT_infection	NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID	NASAL_POLYPS_GCST90018883	H8_MIDDLEMASTOID	0.2338	0.0872	0.062888	0.404712	0.0073	0.0298952380952381	24	4	5	Both	True	True	True
P27	27	Nasal polyps - Allergic conjunctivitis	Nasal polyps	atopic_allergic	NASAL_POLYPS_GCST90018883__H7_ALLERGICCONJUNCTIVITIS	NASAL_POLYPS_GCST90018883	H7_ALLERGICCONJUNCTIVITIS	0.2134	0.0756	0.065224	0.361576	0.0047	0.02021	39	6	3	Both	True	True	True
P28	28	Nasal polyps - Chronic tonsil and adenoid disease	Nasal polyps	ENT_infection	NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	NASAL_POLYPS_GCST90018883	J10_CHRONTONSADEN	0.2006	0.0707	0.062028	0.339172	0.0045	0.02021	39	7	11	Both	True	True	True
P29	29	Nasal polyps - Acute suppurative otitis media	Nasal polyps	ENT_infection	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	NASAL_POLYPS_GCST90018883	H8_SUP_ACUTE	0.1748	0.117	-0.05452	0.40412	0.1354	0.298574358974359	18	1	7	LAVA only	False	True	True
P30	30	Nasal polyps - Psoriasis	Nasal polyps	autoimmune_IBD	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	NASAL_POLYPS_GCST90018883	L12_PSORIASIS	0.0628	0.1122	-0.157112	0.282712	0.5759	0.820190322580645	34	5	27	LAVA only	False	True	True
P31	31	Nasal polyps - Inflammatory bowel disease	Nasal polyps	autoimmune_IBD	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT	NASAL_POLYPS_GCST90018883	K11_IBD_STRICT	-0.0171	0.0889	-0.191344	0.157144	0.8478	0.94239012345679	36	7	17	LAVA only	False	True	True
